seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min,auction_alpha,auction_beta
4,gas,seed004_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
6,gas,seed006_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
1,gas,seed001_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
3,gas,seed003_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
0,gas,seed000_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
5,gas,seed005_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
2,gas,seed002_gas.log,2026-04-23 11:38:58,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
11,gas,seed011_gas.log,2026-04-23 11:38:59,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
8,gas,seed008_gas.log,2026-04-23 11:38:59,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
9,gas,seed009_gas.log,2026-04-23 11:39:00,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
13,gas,seed013_gas.log,2026-04-23 11:39:00,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
7,gas,seed007_gas.log,2026-04-23 11:39:00,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
12,gas,seed012_gas.log,2026-04-23 11:39:00,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
10,gas,seed010_gas.log,2026-04-23 11:39:00,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
16,gas,seed016_gas.log,2026-04-23 11:39:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
14,gas,seed014_gas.log,2026-04-23 11:39:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
15,gas,seed015_gas.log,2026-04-23 11:39:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
18,gas,seed018_gas.log,2026-04-23 11:39:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
20,gas,seed020_gas.log,2026-04-23 11:39:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
17,gas,seed017_gas.log,2026-04-23 11:39:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
22,gas,seed022_gas.log,2026-04-23 11:39:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
23,gas,seed023_gas.log,2026-04-23 11:39:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
19,gas,seed019_gas.log,2026-04-23 11:39:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
21,gas,seed021_gas.log,2026-04-23 11:39:03,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
26,gas,seed026_gas.log,2026-04-23 11:39:03,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
24,gas,seed024_gas.log,2026-04-23 11:39:03,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
27,gas,seed027_gas.log,2026-04-23 11:39:03,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
25,gas,seed025_gas.log,2026-04-23 11:39:03,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
29,gas,seed029_gas.log,2026-04-23 11:39:03,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
28,gas,seed028_gas.log,2026-04-23 11:39:04,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
33,gas,seed033_gas.log,2026-04-23 11:39:04,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
30,gas,seed030_gas.log,2026-04-23 11:39:04,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
32,gas,seed032_gas.log,2026-04-23 11:39:04,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
31,gas,seed031_gas.log,2026-04-23 11:39:05,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
35,gas,seed035_gas.log,2026-04-23 11:39:05,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
34,gas,seed034_gas.log,2026-04-23 11:39:05,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
37,gas,seed037_gas.log,2026-04-23 11:39:05,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
36,gas,seed036_gas.log,2026-04-23 11:39:05,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
41,gas,seed041_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
42,gas,seed042_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
39,gas,seed039_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
40,gas,seed040_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
38,gas,seed038_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
43,gas,seed043_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
44,gas,seed044_gas.log,2026-04-23 11:39:06,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
47,gas,seed047_gas.log,2026-04-23 11:39:07,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
48,gas,seed048_gas.log,2026-04-23 11:39:07,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
45,gas,seed045_gas.log,2026-04-23 11:39:07,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
46,gas,seed046_gas.log,2026-04-23 11:39:07,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
51,gas,seed051_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
49,gas,seed049_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
50,gas,seed050_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
53,gas,seed053_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
54,gas,seed054_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
52,gas,seed052_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
58,gas,seed058_gas.log,2026-04-23 11:39:08,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
55,gas,seed055_gas.log,2026-04-23 11:39:09,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
56,gas,seed056_gas.log,2026-04-23 11:39:09,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
57,gas,seed057_gas.log,2026-04-23 11:39:09,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
61,gas,seed061_gas.log,2026-04-23 11:39:09,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
59,gas,seed059_gas.log,2026-04-23 11:39:09,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
62,gas,seed062_gas.log,2026-04-23 11:39:10,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
65,gas,seed065_gas.log,2026-04-23 11:39:10,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
66,gas,seed066_gas.log,2026-04-23 11:39:10,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
