seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
2,electric,seed002_electric.log,1,726.0,19
2,electric,seed002_electric.log,2,746.0,15
2,electric,seed002_electric.log,3,820.0,18
2,electric,seed002_electric.log,4,886.0,17
2,electric,seed002_electric.log,5,466.0,8
2,electric,seed002_electric.log,6,804.0,15
2,electric,seed002_electric.log,7,754.0,10
2,electric,seed002_electric.log,8,944.0,12
4,electric,seed004_electric.log,1,672.0,15
4,electric,seed004_electric.log,2,890.0,19
4,electric,seed004_electric.log,3,642.0,12
4,electric,seed004_electric.log,4,882.0,16
4,electric,seed004_electric.log,5,460.0,10
4,electric,seed004_electric.log,6,658.0,10
4,electric,seed004_electric.log,7,984.0,15
4,electric,seed004_electric.log,8,914.0,12
1,electric,seed001_electric.log,1,624.0,13
1,electric,seed001_electric.log,2,680.0,17
1,electric,seed001_electric.log,3,816.0,13
1,electric,seed001_electric.log,4,794.0,17
1,electric,seed001_electric.log,5,802.0,11
1,electric,seed001_electric.log,6,834.0,9
1,electric,seed001_electric.log,7,766.0,13
1,electric,seed001_electric.log,8,888.0,14
3,electric,seed003_electric.log,1,646.0,14
3,electric,seed003_electric.log,2,836.0,16
3,electric,seed003_electric.log,3,674.0,13
3,electric,seed003_electric.log,4,442.0,12
3,electric,seed003_electric.log,5,892.0,18
3,electric,seed003_electric.log,6,836.0,14
3,electric,seed003_electric.log,7,758.0,16
3,electric,seed003_electric.log,8,826.0,11
5,electric,seed005_electric.log,1,714.0,14
5,electric,seed005_electric.log,2,630.0,14
5,electric,seed005_electric.log,3,850.0,14
5,electric,seed005_electric.log,4,794.0,15
5,electric,seed005_electric.log,5,814.0,14
5,electric,seed005_electric.log,6,710.0,11
5,electric,seed005_electric.log,7,776.0,13
5,electric,seed005_electric.log,8,738.0,11
6,electric,seed006_electric.log,1,278.0,6
6,electric,seed006_electric.log,2,942.0,21
6,electric,seed006_electric.log,3,796.0,19
6,electric,seed006_electric.log,4,1106.0,17
6,electric,seed006_electric.log,5,840.0,15
6,electric,seed006_electric.log,6,712.0,12
6,electric,seed006_electric.log,7,1054.0,12
6,electric,seed006_electric.log,8,1092.0,14
7,electric,seed007_electric.log,1,628.0,16
7,electric,seed007_electric.log,2,610.0,16
7,electric,seed007_electric.log,3,542.0,13
7,electric,seed007_electric.log,4,776.0,20
7,electric,seed007_electric.log,5,550.0,11
7,electric,seed007_electric.log,6,872.0,13
7,electric,seed007_electric.log,7,810.0,12
7,electric,seed007_electric.log,8,698.0,12
0,electric,seed000_electric.log,1,568.0,13
0,electric,seed000_electric.log,2,920.0,20
0,electric,seed000_electric.log,3,906.0,16
0,electric,seed000_electric.log,4,646.0,12
0,electric,seed000_electric.log,5,832.0,14
0,electric,seed000_electric.log,6,706.0,14
0,electric,seed000_electric.log,7,666.0,8
0,electric,seed000_electric.log,8,964.0,14
9,electric,seed009_electric.log,1,700.0,19
9,electric,seed009_electric.log,2,698.0,14
9,electric,seed009_electric.log,3,540.0,12
9,electric,seed009_electric.log,4,816.0,15
9,electric,seed009_electric.log,5,800.0,13
9,electric,seed009_electric.log,6,886.0,13
9,electric,seed009_electric.log,7,920.0,18
9,electric,seed009_electric.log,8,896.0,11
8,electric,seed008_electric.log,1,922.0,18
8,electric,seed008_electric.log,2,604.0,13
