seed,gse_type,log_file,plane_id,completed,turnaround_time_min,wait_unload_min,wait_load_min
2,electric,seed002_electric.log,AA4769,True,64.0,2.0,27.0
2,electric,seed002_electric.log,AA9643,True,68.0,21.0,12.0
2,electric,seed002_electric.log,AF2542,True,109.0,32.0,42.0
2,electric,seed002_electric.log,AF4102,True,63.0,3.0,25.0
2,electric,seed002_electric.log,AY2636,True,48.0,2.0,11.0
2,electric,seed002_electric.log,AY4214,True,167.0,112.0,20.0
2,electric,seed002_electric.log,BA4433,True,125.0,47.0,43.0
2,electric,seed002_electric.log,BA5818,True,90.0,6.0,49.0
2,electric,seed002_electric.log,DL135,True,48.0,0.0,13.0
2,electric,seed002_electric.log,DL2244,True,72.0,13.0,24.0
2,electric,seed002_electric.log,DL4445,True,46.0,1.0,10.0
2,electric,seed002_electric.log,EK1031,True,162.0,49.0,78.0
2,electric,seed002_electric.log,EK1222,True,134.0,44.0,55.0
2,electric,seed002_electric.log,EK7279,True,72.0,11.0,26.0
2,electric,seed002_electric.log,ET7911,True,88.0,36.0,17.0
2,electric,seed002_electric.log,ET8665,True,138.0,6.0,97.0
2,electric,seed002_electric.log,ET8983,True,72.0,5.0,32.0
2,electric,seed002_electric.log,IB4451,True,121.0,56.0,30.0
2,electric,seed002_electric.log,IB6715,True,107.0,19.0,53.0
2,electric,seed002_electric.log,IB9585,True,128.0,69.0,24.0
2,electric,seed002_electric.log,KL1300,True,50.0,2.0,13.0
2,electric,seed002_electric.log,KL1853,True,101.0,8.0,58.0
2,electric,seed002_electric.log,KL9433,True,133.0,33.0,65.0
2,electric,seed002_electric.log,LH1932,True,187.0,64.0,88.0
2,electric,seed002_electric.log,LH7608,True,69.0,9.0,25.0
2,electric,seed002_electric.log,LH9186,True,104.0,56.0,13.0
2,electric,seed002_electric.log,LX2188,True,48.0,3.0,10.0
2,electric,seed002_electric.log,LX4633,True,132.0,66.0,31.0
2,electric,seed002_electric.log,LX9205,True,60.0,5.0,20.0
2,electric,seed002_electric.log,LX9289,True,170.0,75.0,60.0
2,electric,seed002_electric.log,LX9662,True,112.0,46.0,31.0
2,electric,seed002_electric.log,MS1412,True,135.0,57.0,43.0
2,electric,seed002_electric.log,MS4445,True,72.0,6.0,31.0
2,electric,seed002_electric.log,MS8801,True,121.0,52.0,34.0
2,electric,seed002_electric.log,OS1288,True,88.0,12.0,41.0
2,electric,seed002_electric.log,OS2243,True,158.0,78.0,45.0
2,electric,seed002_electric.log,OS3435,True,172.0,68.0,69.0
2,electric,seed002_electric.log,OS4372,True,93.0,3.0,55.0
2,electric,seed002_electric.log,QF1797,True,101.0,25.0,41.0
2,electric,seed002_electric.log,QF7591,True,79.0,11.0,33.0
2,electric,seed002_electric.log,RJ2526,True,65.0,3.0,27.0
2,electric,seed002_electric.log,RJ2646,True,148.0,92.0,21.0
2,electric,seed002_electric.log,RJ3592,True,64.0,9.0,20.0
2,electric,seed002_electric.log,RJ5056,True,57.0,4.0,18.0
2,electric,seed002_electric.log,RJ690,True,100.0,47.0,18.0
2,electric,seed002_electric.log,SA1213,True,123.0,36.0,52.0
2,electric,seed002_electric.log,SA1443,True,101.0,53.0,13.0
2,electric,seed002_electric.log,SA3550,True,136.0,68.0,33.0
2,electric,seed002_electric.log,SA751,True,146.0,56.0,55.0
2,electric,seed002_electric.log,SA8766,True,73.0,18.0,20.0
2,electric,seed002_electric.log,SA9324,True,75.0,15.0,25.0
2,electric,seed002_electric.log,SK1058,True,77.0,0.0,42.0
2,electric,seed002_electric.log,SK4961,True,106.0,8.0,63.0
2,electric,seed002_electric.log,SK5247,True,177.0,74.0,68.0
2,electric,seed002_electric.log,SK6670,True,50.0,1.0,14.0
2,electric,seed002_electric.log,SN4773,True,61.0,1.0,25.0
2,electric,seed002_electric.log,SN9138,True,160.0,65.0,60.0
2,electric,seed002_electric.log,TK2747,True,154.0,87.0,32.0
2,electric,seed002_electric.log,TK4716,True,121.0,31.0,55.0
2,electric,seed002_electric.log,TK8380,True,120.0,61.0,24.0
2,electric,seed002_electric.log,UA158,True,215.0,56.0,124.0
2,electric,seed002_electric.log,UA1612,True,148.0,0.0,113.0
2,electric,seed002_electric.log,UA2797,True,57.0,3.0,19.0
2,electric,seed002_electric.log,UA5150,False,,0.0,
2,electric,seed002_electric.log,UA5238,True,75.0,8.0,32.0
2,electric,seed002_electric.log,UA921,True,162.0,82.0,45.0
4,electric,seed004_electric.log,AA4769,True,48.0,2.0,11.0
4,electric,seed004_electric.log,AA9643,True,134.0,76.0,23.0
4,electric,seed004_electric.log,AF2542,True,143.0,37.0,71.0
4,electric,seed004_electric.log,AF4102,True,57.0,9.0,13.0
4,electric,seed004_electric.log,AY2636,True,60.0,2.0,23.0
4,electric,seed004_electric.log,AY4214,True,178.0,104.0,39.0
4,electric,seed004_electric.log,BA4433,True,108.0,7.0,66.0
4,electric,seed004_electric.log,BA5818,True,61.0,12.0,14.0
4,electric,seed004_electric.log,DL135,True,56.0,1.0,20.0
4,electric,seed004_electric.log,DL2244,True,66.0,11.0,20.0
4,electric,seed004_electric.log,DL4445,True,47.0,2.0,10.0
4,electric,seed004_electric.log,EK1031,True,111.0,39.0,37.0
4,electric,seed004_electric.log,EK1222,True,96.0,31.0,30.0
4,electric,seed004_electric.log,EK7279,True,55.0,2.0,18.0
4,electric,seed004_electric.log,ET7911,True,75.0,12.0,28.0
4,electric,seed004_electric.log,ET8665,True,110.0,47.0,28.0
4,electric,seed004_electric.log,ET8983,True,45.0,4.0,6.0
4,electric,seed004_electric.log,IB4451,True,103.0,36.0,32.0
4,electric,seed004_electric.log,IB6715,True,93.0,7.0,51.0
4,electric,seed004_electric.log,IB9585,True,109.0,46.0,28.0
4,electric,seed004_electric.log,KL1300,True,52.0,2.0,15.0
4,electric,seed004_electric.log,KL1853,True,116.0,20.0,61.0
4,electric,seed004_electric.log,KL9433,True,157.0,76.0,46.0
4,electric,seed004_electric.log,LH1932,True,273.0,172.0,66.0
4,electric,seed004_electric.log,LH7608,True,62.0,0.0,27.0
4,electric,seed004_electric.log,LH9186,True,101.0,18.0,48.0
4,electric,seed004_electric.log,LX2188,False,,37.0,7.0
4,electric,seed004_electric.log,LX4633,True,168.0,114.0,19.0
4,electric,seed004_electric.log,LX9205,True,54.0,7.0,12.0
4,electric,seed004_electric.log,LX9289,True,227.0,160.0,32.0
4,electric,seed004_electric.log,LX9662,True,114.0,31.0,48.0
4,electric,seed004_electric.log,MS1412,True,88.0,19.0,34.0
4,electric,seed004_electric.log,MS4445,True,61.0,6.0,20.0
4,electric,seed004_electric.log,MS8801,True,154.0,62.0,57.0
4,electric,seed004_electric.log,OS1288,True,73.0,6.0,32.0
4,electric,seed004_electric.log,OS2243,True,218.0,108.0,75.0
4,electric,seed004_electric.log,OS3435,True,171.0,76.0,60.0
4,electric,seed004_electric.log,OS4372,True,82.0,20.0,27.0
4,electric,seed004_electric.log,QF1797,True,142.0,19.0,88.0
4,electric,seed004_electric.log,QF7591,True,83.0,12.0,36.0
4,electric,seed004_electric.log,RJ2526,False,,94.0,
4,electric,seed004_electric.log,RJ2646,True,166.0,106.0,25.0
4,electric,seed004_electric.log,RJ3592,True,87.0,7.0,45.0
4,electric,seed004_electric.log,RJ5056,True,63.0,0.0,28.0
4,electric,seed004_electric.log,RJ690,True,158.0,87.0,36.0
4,electric,seed004_electric.log,SA1213,True,92.0,26.0,31.0
4,electric,seed004_electric.log,SA1443,True,98.0,36.0,27.0
4,electric,seed004_electric.log,SA3550,True,176.0,83.0,58.0
4,electric,seed004_electric.log,SA751,True,105.0,38.0,32.0
4,electric,seed004_electric.log,SA8766,True,115.0,10.0,70.0
4,electric,seed004_electric.log,SA9324,True,66.0,8.0,23.0
4,electric,seed004_electric.log,SK1058,True,70.0,6.0,29.0
4,electric,seed004_electric.log,SK4961,True,81.0,0.0,46.0
4,electric,seed004_electric.log,SK5247,True,102.0,37.0,30.0
4,electric,seed004_electric.log,SK6670,True,56.0,3.0,18.0
4,electric,seed004_electric.log,SN4773,True,64.0,1.0,28.0
4,electric,seed004_electric.log,SN9138,True,193.0,84.0,74.0
4,electric,seed004_electric.log,TK2747,True,229.0,93.0,101.0
4,electric,seed004_electric.log,TK4716,True,145.0,85.0,25.0
4,electric,seed004_electric.log,TK8380,True,172.0,84.0,53.0
4,electric,seed004_electric.log,UA158,True,183.0,100.0,48.0
4,electric,seed004_electric.log,UA1612,True,188.0,95.0,58.0
4,electric,seed004_electric.log,UA2797,True,62.0,4.0,23.0
4,electric,seed004_electric.log,UA5150,False,,0.0,
4,electric,seed004_electric.log,UA5238,True,82.0,19.0,28.0
4,electric,seed004_electric.log,UA921,True,81.0,0.0,46.0
1,electric,seed001_electric.log,AA4769,True,52.0,2.0,15.0
1,electric,seed001_electric.log,AA9643,True,47.0,0.0,12.0
1,electric,seed001_electric.log,AF2542,True,46.0,4.0,7.0
1,electric,seed001_electric.log,AF4102,True,56.0,8.0,13.0
1,electric,seed001_electric.log,AY2636,True,89.0,2.0,52.0
1,electric,seed001_electric.log,AY4214,True,161.0,114.0,12.0
1,electric,seed001_electric.log,BA4433,True,79.0,0.0,44.0
1,electric,seed001_electric.log,BA5818,True,68.0,11.0,22.0
1,electric,seed001_electric.log,DL135,True,55.0,0.0,20.0
1,electric,seed001_electric.log,DL2244,True,79.0,10.0,34.0
1,electric,seed001_electric.log,DL4445,True,48.0,3.0,10.0
1,electric,seed001_electric.log,EK1031,True,170.0,56.0,79.0
1,electric,seed001_electric.log,EK1222,True,151.0,103.0,13.0
1,electric,seed001_electric.log,EK7279,True,104.0,2.0,67.0
1,electric,seed001_electric.log,ET7911,True,81.0,7.0,39.0
1,electric,seed001_electric.log,ET8665,True,93.0,21.0,37.0
1,electric,seed001_electric.log,ET8983,True,81.0,10.0,36.0
1,electric,seed001_electric.log,IB4451,True,113.0,34.0,44.0
1,electric,seed001_electric.log,IB6715,True,150.0,75.0,40.0
1,electric,seed001_electric.log,IB9585,True,183.0,82.0,66.0
1,electric,seed001_electric.log,KL1300,True,58.0,2.0,21.0
1,electric,seed001_electric.log,KL1853,True,152.0,8.0,109.0
1,electric,seed001_electric.log,KL9433,True,201.0,121.0,45.0
1,electric,seed001_electric.log,LH1932,True,157.0,58.0,64.0
1,electric,seed001_electric.log,LH7608,True,91.0,6.0,50.0
1,electric,seed001_electric.log,LH9186,True,126.0,55.0,36.0
1,electric,seed001_electric.log,LX2188,True,45.0,3.0,7.0
1,electric,seed001_electric.log,LX4633,True,123.0,21.0,67.0
1,electric,seed001_electric.log,LX9205,True,48.0,1.0,12.0
1,electric,seed001_electric.log,LX9289,True,161.0,15.0,111.0
1,electric,seed001_electric.log,LX9662,True,94.0,7.0,52.0
1,electric,seed001_electric.log,MS1412,True,111.0,44.0,32.0
1,electric,seed001_electric.log,MS4445,True,73.0,6.0,32.0
1,electric,seed001_electric.log,MS8801,True,123.0,68.0,20.0
1,electric,seed001_electric.log,OS1288,True,135.0,25.0,75.0
1,electric,seed001_electric.log,OS2243,True,166.0,46.0,85.0
1,electric,seed001_electric.log,OS3435,True,116.0,50.0,31.0
1,electric,seed001_electric.log,OS4372,True,149.0,82.0,32.0
1,electric,seed001_electric.log,QF1797,True,99.0,6.0,58.0
1,electric,seed001_electric.log,QF7591,True,188.0,30.0,123.0
1,electric,seed001_electric.log,RJ2526,True,55.0,3.0,17.0
1,electric,seed001_electric.log,RJ2646,True,134.0,76.0,23.0
1,electric,seed001_electric.log,RJ3592,True,64.0,9.0,20.0
1,electric,seed001_electric.log,RJ5056,True,55.0,0.0,20.0
1,electric,seed001_electric.log,RJ690,True,64.0,10.0,19.0
1,electric,seed001_electric.log,SA1213,True,123.0,81.0,7.0
1,electric,seed001_electric.log,SA1443,True,133.0,66.0,32.0
1,electric,seed001_electric.log,SA3550,True,131.0,48.0,48.0
1,electric,seed001_electric.log,SA751,True,174.0,65.0,74.0
1,electric,seed001_electric.log,SA8766,True,64.0,10.0,19.0
1,electric,seed001_electric.log,SA9324,True,81.0,1.0,45.0
1,electric,seed001_electric.log,SK1058,True,85.0,3.0,47.0
1,electric,seed001_electric.log,SK4961,True,94.0,0.0,59.0
1,electric,seed001_electric.log,SK5247,True,141.0,82.0,24.0
1,electric,seed001_electric.log,SK6670,True,57.0,5.0,17.0
1,electric,seed001_electric.log,SN4773,True,64.0,1.0,28.0
1,electric,seed001_electric.log,SN9138,True,134.0,69.0,30.0
1,electric,seed001_electric.log,TK2747,True,172.0,72.0,65.0
1,electric,seed001_electric.log,TK4716,True,103.0,29.0,39.0
1,electric,seed001_electric.log,TK8380,True,123.0,59.0,29.0
1,electric,seed001_electric.log,UA158,True,87.0,30.0,22.0
1,electric,seed001_electric.log,UA1612,True,179.0,113.0,31.0
1,electric,seed001_electric.log,UA2797,True,56.0,0.0,21.0
1,electric,seed001_electric.log,UA5150,False,,0.0,
1,electric,seed001_electric.log,UA5238,True,131.0,69.0,27.0
1,electric,seed001_electric.log,UA921,True,111.0,59.0,17.0
3,electric,seed003_electric.log,AA4769,True,55.0,2.0,18.0
3,electric,seed003_electric.log,AA9643,True,130.0,69.0,26.0
3,electric,seed003_electric.log,AF2542,True,145.0,104.0,6.0
3,electric,seed003_electric.log,AF4102,True,66.0,15.0,16.0
3,electric,seed003_electric.log,AY2636,True,87.0,2.0,50.0
3,electric,seed003_electric.log,AY4214,True,167.0,111.0,21.0
3,electric,seed003_electric.log,BA4433,True,162.0,49.0,78.0
3,electric,seed003_electric.log,BA5818,True,64.0,7.0,22.0
3,electric,seed003_electric.log,DL135,True,58.0,1.0,22.0
3,electric,seed003_electric.log,DL2244,True,69.0,17.0,17.0
3,electric,seed003_electric.log,DL4445,True,49.0,3.0,11.0
3,electric,seed003_electric.log,EK1031,True,109.0,52.0,22.0
3,electric,seed003_electric.log,EK1222,True,144.0,87.0,22.0
3,electric,seed003_electric.log,EK7279,True,83.0,9.0,39.0
3,electric,seed003_electric.log,ET7911,True,113.0,58.0,20.0
3,electric,seed003_electric.log,ET8665,True,114.0,1.0,78.0
3,electric,seed003_electric.log,ET8983,True,62.0,6.0,21.0
3,electric,seed003_electric.log,IB4451,True,92.0,36.0,21.0
3,electric,seed003_electric.log,IB6715,True,118.0,0.0,83.0
3,electric,seed003_electric.log,IB9585,True,104.0,18.0,51.0
3,electric,seed003_electric.log,KL1300,True,60.0,4.0,21.0
3,electric,seed003_electric.log,KL1853,True,88.0,4.0,49.0
3,electric,seed003_electric.log,KL9433,True,189.0,104.0,50.0
3,electric,seed003_electric.log,LH1932,True,142.0,0.0,107.0
3,electric,seed003_electric.log,LH7608,True,66.0,1.0,30.0
3,electric,seed003_electric.log,LH9186,True,113.0,64.0,14.0
3,electric,seed003_electric.log,LX2188,False,,18.0,7.0
3,electric,seed003_electric.log,LX4633,True,131.0,76.0,20.0
3,electric,seed003_electric.log,LX9205,True,52.0,5.0,12.0
3,electric,seed003_electric.log,LX9289,True,134.0,58.0,41.0
3,electric,seed003_electric.log,LX9662,True,113.0,58.0,20.0
3,electric,seed003_electric.log,MS1412,True,141.0,56.0,50.0
3,electric,seed003_electric.log,MS4445,True,85.0,19.0,31.0
3,electric,seed003_electric.log,MS8801,True,115.0,54.0,26.0
3,electric,seed003_electric.log,OS1288,True,75.0,0.0,40.0
3,electric,seed003_electric.log,OS2243,True,252.0,117.0,100.0
3,electric,seed003_electric.log,OS3435,True,136.0,55.0,46.0
3,electric,seed003_electric.log,OS4372,True,91.0,13.0,43.0
3,electric,seed003_electric.log,QF1797,True,136.0,0.0,101.0
3,electric,seed003_electric.log,QF7591,True,128.0,10.0,83.0
3,electric,seed003_electric.log,RJ2526,False,,61.0,34.0
3,electric,seed003_electric.log,RJ2646,True,154.0,50.0,69.0
3,electric,seed003_electric.log,RJ3592,True,96.0,1.0,60.0
3,electric,seed003_electric.log,RJ5056,True,99.0,8.0,56.0
3,electric,seed003_electric.log,RJ690,True,135.0,48.0,52.0
3,electric,seed003_electric.log,SA1213,True,145.0,66.0,44.0
3,electric,seed003_electric.log,SA1443,True,114.0,52.0,27.0
3,electric,seed003_electric.log,SA3550,True,240.0,105.0,100.0
3,electric,seed003_electric.log,SA751,True,116.0,55.0,26.0
3,electric,seed003_electric.log,SA8766,True,93.0,23.0,35.0
3,electric,seed003_electric.log,SA9324,True,95.0,37.0,23.0
3,electric,seed003_electric.log,SK1058,True,95.0,3.0,57.0
3,electric,seed003_electric.log,SK4961,True,73.0,8.0,30.0
3,electric,seed003_electric.log,SK5247,True,113.0,59.0,19.0
3,electric,seed003_electric.log,SK6670,True,54.0,1.0,18.0
3,electric,seed003_electric.log,SN4773,True,55.0,1.0,19.0
3,electric,seed003_electric.log,SN9138,True,179.0,97.0,47.0
3,electric,seed003_electric.log,TK2747,True,192.0,121.0,36.0
3,electric,seed003_electric.log,TK4716,True,154.0,73.0,46.0
3,electric,seed003_electric.log,TK8380,True,153.0,99.0,19.0
3,electric,seed003_electric.log,UA158,True,152.0,79.0,38.0
3,electric,seed003_electric.log,UA1612,True,194.0,119.0,40.0
3,electric,seed003_electric.log,UA2797,True,58.0,5.0,18.0
3,electric,seed003_electric.log,UA5150,False,,0.0,
3,electric,seed003_electric.log,UA5238,True,95.0,9.0,51.0
3,electric,seed003_electric.log,UA921,True,172.0,57.0,80.0
5,electric,seed005_electric.log,AA4769,True,48.0,2.0,11.0
5,electric,seed005_electric.log,AA9643,True,53.0,4.0,14.0
5,electric,seed005_electric.log,AF2542,True,67.0,9.0,23.0
5,electric,seed005_electric.log,AF4102,True,52.0,3.0,14.0
5,electric,seed005_electric.log,AY2636,True,81.0,2.0,44.0
5,electric,seed005_electric.log,AY4214,True,157.0,26.0,96.0
5,electric,seed005_electric.log,BA4433,True,162.0,56.0,71.0
5,electric,seed005_electric.log,BA5818,True,54.0,5.0,14.0
5,electric,seed005_electric.log,DL135,True,51.0,0.0,16.0
5,electric,seed005_electric.log,DL2244,True,123.0,16.0,72.0
5,electric,seed005_electric.log,DL4445,True,48.0,3.0,10.0
5,electric,seed005_electric.log,EK1031,True,156.0,65.0,56.0
5,electric,seed005_electric.log,EK1222,True,259.0,116.0,108.0
5,electric,seed005_electric.log,EK7279,True,63.0,9.0,19.0
5,electric,seed005_electric.log,ET7911,True,114.0,63.0,16.0
5,electric,seed005_electric.log,ET8665,True,99.0,27.0,37.0
5,electric,seed005_electric.log,ET8983,True,95.0,7.0,53.0
5,electric,seed005_electric.log,IB4451,True,112.0,43.0,34.0
5,electric,seed005_electric.log,IB6715,True,120.0,0.0,85.0
5,electric,seed005_electric.log,IB9585,True,125.0,59.0,31.0
5,electric,seed005_electric.log,KL1300,True,50.0,2.0,13.0
5,electric,seed005_electric.log,KL1853,True,95.0,7.0,53.0
5,electric,seed005_electric.log,KL9433,True,194.0,103.0,56.0
5,electric,seed005_electric.log,LH1932,True,161.0,95.0,31.0
5,electric,seed005_electric.log,LH7608,True,82.0,0.0,47.0
5,electric,seed005_electric.log,LH9186,True,116.0,64.0,17.0
5,electric,seed005_electric.log,LX2188,True,49.0,3.0,11.0
5,electric,seed005_electric.log,LX4633,True,133.0,79.0,19.0
5,electric,seed005_electric.log,LX9205,True,48.0,1.0,12.0
5,electric,seed005_electric.log,LX9289,True,147.0,42.0,70.0
5,electric,seed005_electric.log,LX9662,True,112.0,7.0,70.0
5,electric,seed005_electric.log,MS1412,True,151.0,74.0,42.0
5,electric,seed005_electric.log,MS4445,True,62.0,8.0,19.0
5,electric,seed005_electric.log,MS8801,True,156.0,48.0,73.0
5,electric,seed005_electric.log,OS1288,True,109.0,43.0,31.0
5,electric,seed005_electric.log,OS2243,True,155.0,57.0,63.0
5,electric,seed005_electric.log,OS3435,True,142.0,7.0,100.0
5,electric,seed005_electric.log,OS4372,True,149.0,67.0,47.0
5,electric,seed005_electric.log,QF1797,True,124.0,54.0,35.0
5,electric,seed005_electric.log,QF7591,True,91.0,23.0,33.0
