seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min
4,gas,seed004_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
6,gas,seed006_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
1,gas,seed001_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
8,gas,seed008_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
0,gas,seed000_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
3,gas,seed003_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
7,gas,seed007_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
9,gas,seed009_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
2,gas,seed002_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
5,gas,seed005_gas.log,2026-04-23 09:01:23,12.0,720.0,7,4.0,2.0,0.25,50.0
