seed,gse_type,log_file,plane_id,completed,turnaround_time_min,wait_unload_min,wait_load_min
4,gas,seed004_gas.log,AF1341,True,56.0,6.0,15.0
4,gas,seed004_gas.log,AF782,True,57.0,0.0,22.0
4,gas,seed004_gas.log,BA774,True,51.0,7.0,9.0
4,gas,seed004_gas.log,EK149,True,46.0,5.0,6.0
4,gas,seed004_gas.log,EK533,True,59.0,3.0,21.0
4,gas,seed004_gas.log,IB204,True,54.0,6.0,13.0
4,gas,seed004_gas.log,IB452,True,57.0,6.0,16.0
4,gas,seed004_gas.log,KL123,True,57.0,2.0,20.0
4,gas,seed004_gas.log,KL184,True,63.0,9.0,19.0
4,gas,seed004_gas.log,KL642,True,55.0,4.0,16.0
4,gas,seed004_gas.log,LH412,True,53.0,1.0,17.0
4,gas,seed004_gas.log,LH997,True,43.0,2.0,6.0
4,gas,seed004_gas.log,OS374,True,57.0,10.0,12.0
4,gas,seed004_gas.log,QF640,True,53.0,5.0,13.0
4,gas,seed004_gas.log,TK1954,True,56.0,1.0,20.0
4,gas,seed004_gas.log,U28672,True,52.0,0.0,17.0
6,gas,seed006_gas.log,AF1341,True,58.0,8.0,15.0
6,gas,seed006_gas.log,AF782,True,47.0,1.0,11.0
6,gas,seed006_gas.log,BA774,True,50.0,6.0,9.0
6,gas,seed006_gas.log,EK149,True,57.0,5.0,17.0
6,gas,seed006_gas.log,EK533,True,63.0,8.0,20.0
6,gas,seed006_gas.log,IB204,True,58.0,6.0,17.0
6,gas,seed006_gas.log,IB452,True,58.0,7.0,16.0
6,gas,seed006_gas.log,KL123,True,56.0,8.0,13.0
6,gas,seed006_gas.log,KL184,True,59.0,5.0,19.0
6,gas,seed006_gas.log,KL642,True,59.0,7.0,17.0
6,gas,seed006_gas.log,LH412,True,49.0,2.0,12.0
6,gas,seed006_gas.log,LH997,True,43.0,1.0,7.0
6,gas,seed006_gas.log,OS374,True,62.0,14.0,13.0
6,gas,seed006_gas.log,QF640,True,49.0,1.0,13.0
6,gas,seed006_gas.log,TK1954,True,49.0,4.0,10.0
6,gas,seed006_gas.log,U28672,True,56.0,4.0,17.0
1,gas,seed001_gas.log,AF1341,True,58.0,8.0,15.0
1,gas,seed001_gas.log,AF782,True,48.0,0.0,13.0
1,gas,seed001_gas.log,BA774,True,50.0,6.0,9.0
1,gas,seed001_gas.log,EK149,True,52.0,5.0,12.0
1,gas,seed001_gas.log,EK533,True,61.0,6.0,20.0
1,gas,seed001_gas.log,IB204,True,58.0,6.0,17.0
1,gas,seed001_gas.log,IB452,True,57.0,6.0,16.0
1,gas,seed001_gas.log,KL123,True,50.0,2.0,13.0
1,gas,seed001_gas.log,KL184,True,59.0,5.0,19.0
1,gas,seed001_gas.log,KL642,True,59.0,6.0,18.0
1,gas,seed001_gas.log,LH412,True,50.0,0.0,15.0
1,gas,seed001_gas.log,LH997,True,47.0,3.0,9.0
1,gas,seed001_gas.log,OS374,True,57.0,10.0,12.0
1,gas,seed001_gas.log,QF640,True,53.0,5.0,13.0
1,gas,seed001_gas.log,TK1954,True,54.0,3.0,16.0
1,gas,seed001_gas.log,U28672,True,55.0,3.0,17.0
8,gas,seed008_gas.log,AF1341,True,57.0,7.0,15.0
8,gas,seed008_gas.log,AF782,True,56.0,0.0,21.0
8,gas,seed008_gas.log,BA774,True,51.0,7.0,9.0
8,gas,seed008_gas.log,EK149,True,57.0,5.0,17.0
8,gas,seed008_gas.log,EK533,True,55.0,0.0,20.0
8,gas,seed008_gas.log,IB204,True,59.0,7.0,17.0
8,gas,seed008_gas.log,IB452,True,69.0,6.0,28.0
8,gas,seed008_gas.log,KL123,True,57.0,2.0,20.0
8,gas,seed008_gas.log,KL184,True,63.0,9.0,19.0
8,gas,seed008_gas.log,KL642,True,67.0,16.0,16.0
8,gas,seed008_gas.log,LH412,True,58.0,5.0,18.0
8,gas,seed008_gas.log,LH997,True,42.0,0.0,7.0
8,gas,seed008_gas.log,OS374,True,57.0,10.0,12.0
8,gas,seed008_gas.log,QF640,True,50.0,1.0,14.0
8,gas,seed008_gas.log,TK1954,True,43.0,3.0,5.0
8,gas,seed008_gas.log,U28672,True,57.0,4.0,18.0
0,gas,seed000_gas.log,AF1341,True,56.0,5.0,16.0
0,gas,seed000_gas.log,AF782,True,70.0,4.0,31.0
0,gas,seed000_gas.log,BA774,True,50.0,6.0,9.0
0,gas,seed000_gas.log,EK149,True,54.0,7.0,12.0
0,gas,seed000_gas.log,EK533,True,63.0,7.0,21.0
0,gas,seed000_gas.log,IB204,True,53.0,7.0,11.0
0,gas,seed000_gas.log,IB452,True,53.0,6.0,12.0
0,gas,seed000_gas.log,KL123,True,52.0,2.0,15.0
0,gas,seed000_gas.log,KL184,True,61.0,7.0,19.0
0,gas,seed000_gas.log,KL642,True,59.0,7.0,17.0
0,gas,seed000_gas.log,LH412,True,57.0,5.0,17.0
0,gas,seed000_gas.log,LH997,True,45.0,1.0,9.0
0,gas,seed000_gas.log,OS374,True,65.0,11.0,19.0
0,gas,seed000_gas.log,QF640,True,59.0,5.0,19.0
0,gas,seed000_gas.log,TK1954,True,49.0,3.0,11.0
0,gas,seed000_gas.log,U28672,True,57.0,4.0,18.0
3,gas,seed003_gas.log,AF1341,True,59.0,6.0,18.0
3,gas,seed003_gas.log,AF782,True,52.0,5.0,12.0
3,gas,seed003_gas.log,BA774,True,54.0,10.0,9.0
3,gas,seed003_gas.log,EK149,True,64.0,5.0,24.0
3,gas,seed003_gas.log,EK533,True,63.0,8.0,20.0
3,gas,seed003_gas.log,IB204,True,58.0,6.0,17.0
3,gas,seed003_gas.log,IB452,True,53.0,6.0,12.0
3,gas,seed003_gas.log,KL123,True,50.0,2.0,13.0
3,gas,seed003_gas.log,KL184,True,62.0,8.0,19.0
3,gas,seed003_gas.log,KL642,True,57.0,6.0,16.0
3,gas,seed003_gas.log,LH412,True,52.0,5.0,12.0
3,gas,seed003_gas.log,LH997,True,48.0,3.0,10.0
3,gas,seed003_gas.log,OS374,True,56.0,9.0,12.0
3,gas,seed003_gas.log,QF640,True,51.0,1.0,15.0
3,gas,seed003_gas.log,TK1954,True,44.0,4.0,5.0
3,gas,seed003_gas.log,U28672,True,54.0,4.0,15.0
7,gas,seed007_gas.log,AF1341,True,59.0,6.0,18.0
7,gas,seed007_gas.log,AF782,True,54.0,1.0,18.0
7,gas,seed007_gas.log,BA774,True,54.0,10.0,9.0
7,gas,seed007_gas.log,EK149,True,57.0,5.0,17.0
7,gas,seed007_gas.log,EK533,True,63.0,8.0,20.0
7,gas,seed007_gas.log,IB204,True,58.0,6.0,17.0
7,gas,seed007_gas.log,IB452,True,53.0,6.0,12.0
7,gas,seed007_gas.log,KL123,True,50.0,2.0,13.0
7,gas,seed007_gas.log,KL184,True,61.0,7.0,19.0
7,gas,seed007_gas.log,KL642,True,57.0,6.0,16.0
7,gas,seed007_gas.log,LH412,True,61.0,8.0,18.0
7,gas,seed007_gas.log,LH997,True,46.0,0.0,11.0
7,gas,seed007_gas.log,OS374,True,55.0,8.0,12.0
7,gas,seed007_gas.log,QF640,True,49.0,1.0,13.0
7,gas,seed007_gas.log,TK1954,True,43.0,3.0,5.0
7,gas,seed007_gas.log,U28672,True,57.0,4.0,18.0
9,gas,seed009_gas.log,AF1341,True,59.0,6.0,18.0
9,gas,seed009_gas.log,AF782,True,46.0,0.0,11.0
9,gas,seed009_gas.log,BA774,True,54.0,10.0,9.0
9,gas,seed009_gas.log,EK149,True,52.0,5.0,12.0
9,gas,seed009_gas.log,EK533,True,56.0,1.0,20.0
9,gas,seed009_gas.log,IB204,True,58.0,6.0,17.0
9,gas,seed009_gas.log,IB452,True,57.0,6.0,16.0
9,gas,seed009_gas.log,KL123,True,54.0,2.0,17.0
9,gas,seed009_gas.log,KL184,True,59.0,5.0,19.0
9,gas,seed009_gas.log,KL642,True,57.0,6.0,16.0
9,gas,seed009_gas.log,LH412,True,52.0,2.0,15.0
9,gas,seed009_gas.log,LH997,True,45.0,1.0,9.0
9,gas,seed009_gas.log,OS374,True,60.0,6.0,19.0
9,gas,seed009_gas.log,QF640,True,49.0,1.0,13.0
9,gas,seed009_gas.log,TK1954,True,41.0,1.0,5.0
9,gas,seed009_gas.log,U28672,True,57.0,4.0,18.0
2,gas,seed002_gas.log,AF1341,True,69.0,12.0,22.0
2,gas,seed002_gas.log,AF782,True,50.0,3.0,12.0
2,gas,seed002_gas.log,BA774,True,50.0,6.0,9.0
2,gas,seed002_gas.log,EK149,True,49.0,5.0,9.0
2,gas,seed002_gas.log,EK533,True,56.0,1.0,20.0
2,gas,seed002_gas.log,IB204,True,51.0,6.0,10.0
2,gas,seed002_gas.log,IB452,True,56.0,6.0,15.0
2,gas,seed002_gas.log,KL123,True,56.0,8.0,13.0
2,gas,seed002_gas.log,KL184,True,58.0,4.0,19.0
2,gas,seed002_gas.log,KL642,True,59.0,6.0,18.0
2,gas,seed002_gas.log,LH412,True,47.0,0.0,12.0
2,gas,seed002_gas.log,LH997,True,44.0,3.0,6.0
2,gas,seed002_gas.log,OS374,True,58.0,11.0,12.0
