seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min
6,gas,seed006_gas.log,2026-04-22 18:25:42,12.0,720.0,7,4.0,2.0,0.25,50.0
1,gas,seed001_gas.log,2026-04-22 18:25:42,12.0,720.0,7,4.0,2.0,0.25,50.0
8,gas,seed008_gas.log,2026-04-22 18:25:43,12.0,720.0,7,4.0,2.0,0.25,50.0
3,gas,seed003_gas.log,2026-04-22 18:25:43,12.0,720.0,7,4.0,2.0,0.25,50.0
2,gas,seed002_gas.log,2026-04-22 18:25:43,12.0,720.0,7,4.0,2.0,0.25,50.0
10,gas,seed010_gas.log,2026-04-22 18:25:44,12.0,720.0,7,4.0,2.0,0.25,50.0
0,gas,seed000_gas.log,2026-04-22 18:25:46,12.0,720.0,7,4.0,2.0,0.25,50.0
12,gas,seed012_gas.log,2026-04-22 18:25:47,12.0,720.0,7,4.0,2.0,0.25,50.0
9,gas,seed009_gas.log,2026-04-22 18:25:47,12.0,720.0,7,4.0,2.0,0.25,50.0
15,gas,seed015_gas.log,2026-04-22 18:25:48,12.0,720.0,7,4.0,2.0,0.25,50.0
16,gas,seed016_gas.log,2026-04-22 18:25:48,12.0,720.0,7,4.0,2.0,0.25,50.0
5,gas,seed005_gas.log,2026-04-22 18:25:49,12.0,720.0,7,4.0,2.0,0.25,50.0
11,gas,seed011_gas.log,2026-04-22 18:25:50,12.0,720.0,7,4.0,2.0,0.25,50.0
4,gas,seed004_gas.log,2026-04-22 18:25:50,12.0,720.0,7,4.0,2.0,0.25,50.0
13,gas,seed013_gas.log,2026-04-22 18:25:50,12.0,720.0,7,4.0,2.0,0.25,50.0
7,gas,seed007_gas.log,2026-04-22 18:25:50,12.0,720.0,7,4.0,2.0,0.25,50.0
22,gas,seed022_gas.log,2026-04-22 18:25:50,12.0,720.0,7,4.0,2.0,0.25,50.0
19,gas,seed019_gas.log,2026-04-22 18:25:51,12.0,720.0,7,4.0,2.0,0.25,50.0
24,gas,seed024_gas.log,2026-04-22 18:25:51,12.0,720.0,7,4.0,2.0,0.25,50.0
21,gas,seed021_gas.log,2026-04-22 18:25:51,12.0,720.0,7,4.0,2.0,0.25,50.0
25,gas,seed025_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
27,gas,seed027_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
28,gas,seed028_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
29,gas,seed029_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
30,gas,seed030_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
31,gas,seed031_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
32,gas,seed032_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
17,gas,seed017_gas.log,2026-04-22 18:25:52,12.0,720.0,7,4.0,2.0,0.25,50.0
20,gas,seed020_gas.log,2026-04-22 18:25:53,12.0,720.0,7,4.0,2.0,0.25,50.0
33,gas,seed033_gas.log,2026-04-22 18:25:53,12.0,720.0,7,4.0,2.0,0.25,50.0
23,gas,seed023_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
37,gas,seed037_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
18,gas,seed018_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
36,gas,seed036_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
26,gas,seed026_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
41,gas,seed041_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
39,gas,seed039_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
43,gas,seed043_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
44,gas,seed044_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
35,gas,seed035_gas.log,2026-04-22 18:25:54,12.0,720.0,7,4.0,2.0,0.25,50.0
46,gas,seed046_gas.log,2026-04-22 18:25:55,12.0,720.0,7,4.0,2.0,0.25,50.0
47,gas,seed047_gas.log,2026-04-22 18:25:55,12.0,720.0,7,4.0,2.0,0.25,50.0
42,gas,seed042_gas.log,2026-04-22 18:25:55,12.0,720.0,7,4.0,2.0,0.25,50.0
49,gas,seed049_gas.log,2026-04-22 18:25:55,12.0,720.0,7,4.0,2.0,0.25,50.0
40,gas,seed040_gas.log,2026-04-22 18:25:55,12.0,720.0,7,4.0,2.0,0.25,50.0
14,gas,seed014_gas.log,2026-04-22 18:25:56,12.0,720.0,7,4.0,2.0,0.25,50.0
45,gas,seed045_gas.log,2026-04-22 18:25:56,12.0,720.0,7,4.0,2.0,0.25,50.0
38,gas,seed038_gas.log,2026-04-22 18:25:58,12.0,720.0,7,4.0,2.0,0.25,50.0
34,gas,seed034_gas.log,2026-04-22 18:25:58,12.0,720.0,7,4.0,2.0,0.25,50.0
48,gas,seed048_gas.log,2026-04-22 18:25:58,12.0,720.0,7,4.0,2.0,0.25,50.0
