============================================================
BATCH RUN SUMMARY
Created     : 2026-04-22_18-25-41
GSE type    : gas
Seeds       : 50
Workers     : 7
Batch dir   : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-22_18-25-41
Results CSV : /Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-22_18-25-41/batch_results.csv
------------------------------------------------------------
seed,gse_type,mean_tat,n_completed,log_file
6,gas,53.4,16,seed006_gas.log
1,gas,54.5,16,seed001_gas.log
8,gas,57.4,16,seed008_gas.log
3,gas,95.4,16,seed003_gas.log
2,gas,59.9,16,seed002_gas.log
10,gas,86.3,16,seed010_gas.log
0,gas,279.1,16,seed000_gas.log
12,gas,142.8,16,seed012_gas.log
9,gas,113.9,11,seed009_gas.log
15,gas,59.1,16,seed015_gas.log
16,gas,93.4,16,seed016_gas.log
5,gas,280.4,7,seed005_gas.log
11,gas,144.9,13,seed011_gas.log
4,gas,345.0,4,seed004_gas.log
13,gas,152.4,13,seed013_gas.log
7,gas,202.8,8,seed007_gas.log
22,gas,73.8,16,seed022_gas.log
19,gas,100.0,16,seed019_gas.log
24,gas,53.9,16,seed024_gas.log
21,gas,98.1,16,seed021_gas.log
25,gas,64.4,16,seed025_gas.log
27,gas,73.2,16,seed027_gas.log
28,gas,68.9,16,seed028_gas.log
29,gas,60.1,16,seed029_gas.log
30,gas,55.8,16,seed030_gas.log
31,gas,58.6,16,seed031_gas.log
32,gas,56.3,16,seed032_gas.log
17,gas,190.8,14,seed017_gas.log
20,gas,171.8,12,seed020_gas.log
33,gas,139.2,16,seed033_gas.log
23,gas,194.2,10,seed023_gas.log
37,gas,61.6,16,seed037_gas.log
18,gas,201.4,8,seed018_gas.log
36,gas,74.6,16,seed036_gas.log
26,gas,99.8,11,seed026_gas.log
41,gas,59.8,16,seed041_gas.log
39,gas,89.6,16,seed039_gas.log
43,gas,55.6,16,seed043_gas.log
44,gas,54.4,16,seed044_gas.log
35,gas,121.9,16,seed035_gas.log
46,gas,56.9,16,seed046_gas.log
47,gas,55.5,16,seed047_gas.log
42,gas,72.5,16,seed042_gas.log
49,gas,69.1,16,seed049_gas.log
40,gas,79.1,16,seed040_gas.log
14,gas,152.5,12,seed014_gas.log
45,gas,72.1,16,seed045_gas.log
38,gas,146.8,16,seed038_gas.log
34,gas,118.6,11,seed034_gas.log
48,gas,206.5,16,seed048_gas.log
