seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
6,gas,seed006_gas.log,1,57.0,4
6,gas,seed006_gas.log,2,54.0,4
6,gas,seed006_gas.log,3,94.0,7
6,gas,seed006_gas.log,4,61.0,3
6,gas,seed006_gas.log,5,51.0,4
6,gas,seed006_gas.log,6,72.0,5
6,gas,seed006_gas.log,7,74.0,5
1,gas,seed001_gas.log,1,53.0,4
1,gas,seed001_gas.log,2,63.0,5
1,gas,seed001_gas.log,3,75.0,6
1,gas,seed001_gas.log,4,58.0,3
1,gas,seed001_gas.log,5,68.0,5
1,gas,seed001_gas.log,6,73.0,4
1,gas,seed001_gas.log,7,78.0,5
8,gas,seed008_gas.log,1,97.0,4
8,gas,seed008_gas.log,2,66.0,3
8,gas,seed008_gas.log,3,74.0,5
8,gas,seed008_gas.log,4,112.0,7
8,gas,seed008_gas.log,5,64.0,5
8,gas,seed008_gas.log,6,57.0,3
8,gas,seed008_gas.log,7,64.0,5
3,gas,seed003_gas.log,1,149.0,5
3,gas,seed003_gas.log,2,271.0,5
3,gas,seed003_gas.log,3,168.0,5
3,gas,seed003_gas.log,4,224.0,4
3,gas,seed003_gas.log,5,281.0,3
3,gas,seed003_gas.log,6,112.0,5
3,gas,seed003_gas.log,7,190.0,1
2,gas,seed002_gas.log,1,79.0,5
2,gas,seed002_gas.log,2,108.0,5
2,gas,seed002_gas.log,3,111.0,5
2,gas,seed002_gas.log,4,127.0,3
2,gas,seed002_gas.log,5,94.0,4
2,gas,seed002_gas.log,6,77.0,5
2,gas,seed002_gas.log,7,79.0,4
10,gas,seed010_gas.log,1,160.0,5
10,gas,seed010_gas.log,2,198.0,2
10,gas,seed010_gas.log,3,184.0,2
10,gas,seed010_gas.log,4,121.0,3
10,gas,seed010_gas.log,5,285.0,6
10,gas,seed010_gas.log,6,114.0,4
10,gas,seed010_gas.log,7,199.0,5
0,gas,seed000_gas.log,1,510.0,3
0,gas,seed000_gas.log,2,498.0,4
0,gas,seed000_gas.log,3,514.0,4
0,gas,seed000_gas.log,4,473.0,5
0,gas,seed000_gas.log,5,566.0,4
0,gas,seed000_gas.log,6,447.0,5
0,gas,seed000_gas.log,7,485.0,4
12,gas,seed012_gas.log,1,228.0,5
12,gas,seed012_gas.log,2,312.0,3
12,gas,seed012_gas.log,3,303.0,3
12,gas,seed012_gas.log,4,286.0,4
12,gas,seed012_gas.log,5,329.0,3
12,gas,seed012_gas.log,6,230.0,2
12,gas,seed012_gas.log,7,295.0,4
9,gas,seed009_gas.log,1,420.0,2
9,gas,seed009_gas.log,2,376.0,5
9,gas,seed009_gas.log,3,493.0,2
9,gas,seed009_gas.log,4,430.0,2
9,gas,seed009_gas.log,5,387.0,3
9,gas,seed009_gas.log,6,382.0,4
9,gas,seed009_gas.log,7,426.0,3
15,gas,seed015_gas.log,1,156.0,5
15,gas,seed015_gas.log,2,69.0,4
15,gas,seed015_gas.log,3,57.0,4
15,gas,seed015_gas.log,4,79.0,6
15,gas,seed015_gas.log,5,69.0,4
15,gas,seed015_gas.log,6,68.0,4
15,gas,seed015_gas.log,7,127.0,4
16,gas,seed016_gas.log,1,202.0,2
16,gas,seed016_gas.log,2,164.0,4
16,gas,seed016_gas.log,3,228.0,3
16,gas,seed016_gas.log,4,153.0,5
16,gas,seed016_gas.log,5,234.0,4
16,gas,seed016_gas.log,6,195.0,5
16,gas,seed016_gas.log,7,110.0,5
5,gas,seed005_gas.log,1,559.0,5
5,gas,seed005_gas.log,2,569.0,1
5,gas,seed005_gas.log,3,606.0,2
5,gas,seed005_gas.log,4,582.0,0
5,gas,seed005_gas.log,5,622.0,1
5,gas,seed005_gas.log,6,490.0,3
5,gas,seed005_gas.log,7,507.0,3
11,gas,seed011_gas.log,1,473.0,3
11,gas,seed011_gas.log,2,399.0,1
11,gas,seed011_gas.log,3,336.0,3
11,gas,seed011_gas.log,4,471.0,5
11,gas,seed011_gas.log,5,272.0,5
11,gas,seed011_gas.log,6,362.0,3
11,gas,seed011_gas.log,7,337.0,6
4,gas,seed004_gas.log,1,569.0,1
4,gas,seed004_gas.log,2,601.0,0
4,gas,seed004_gas.log,3,611.0,1
4,gas,seed004_gas.log,4,623.0,0
4,gas,seed004_gas.log,5,622.0,1
4,gas,seed004_gas.log,6,576.0,2
4,gas,seed004_gas.log,7,607.0,1
13,gas,seed013_gas.log,1,375.0,3
13,gas,seed013_gas.log,2,503.0,1
13,gas,seed013_gas.log,3,322.0,3
13,gas,seed013_gas.log,4,462.0,2
13,gas,seed013_gas.log,5,451.0,3
13,gas,seed013_gas.log,6,498.0,6
13,gas,seed013_gas.log,7,423.0,3
7,gas,seed007_gas.log,1,607.0,0
7,gas,seed007_gas.log,2,575.0,1
7,gas,seed007_gas.log,3,503.0,2
7,gas,seed007_gas.log,4,521.0,2
7,gas,seed007_gas.log,5,603.0,1
7,gas,seed007_gas.log,6,481.0,5
7,gas,seed007_gas.log,7,512.0,4
22,gas,seed022_gas.log,1,170.0,4
22,gas,seed022_gas.log,2,100.0,2
22,gas,seed022_gas.log,3,74.0,6
22,gas,seed022_gas.log,4,90.0,3
22,gas,seed022_gas.log,5,197.0,6
22,gas,seed022_gas.log,6,162.0,5
22,gas,seed022_gas.log,7,106.0,4
19,gas,seed019_gas.log,1,251.0,3
19,gas,seed019_gas.log,2,184.0,5
19,gas,seed019_gas.log,3,283.0,4
19,gas,seed019_gas.log,4,240.0,4
19,gas,seed019_gas.log,5,192.0,5
19,gas,seed019_gas.log,6,191.0,4
19,gas,seed019_gas.log,7,185.0,2
24,gas,seed024_gas.log,1,58.0,4
24,gas,seed024_gas.log,2,93.0,6
24,gas,seed024_gas.log,3,65.0,3
24,gas,seed024_gas.log,4,75.0,5
24,gas,seed024_gas.log,5,63.0,4
24,gas,seed024_gas.log,6,51.0,5
24,gas,seed024_gas.log,7,72.0,5
21,gas,seed021_gas.log,1,230.0,4
21,gas,seed021_gas.log,2,202.0,3
21,gas,seed021_gas.log,3,179.0,4
21,gas,seed021_gas.log,4,232.0,6
