run_id,seed,gse_type,log_file,gse_id,charge_start_time_min,charge_end_time_min,charge_node,start_soc_pct,end_soc_pct,planned_charge_duration_min,observed_charge_duration_min,session_complete,end_status
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,6,174.0,176.0,6.0,6.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,5,187.0,189.0,5.0,0.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,4,188.0,190.0,6.0,3.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,2,216.0,218.0,6.0,7.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,1,231.0,233.0,6.0,6.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,3,234.0,236.0,5.0,3.0,100.0,2.0,2.0,True,available
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,6,277.0,279.0,6.0,0.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,2,319.0,321.0,5.0,0.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,1,325.0,327.0,6.0,9.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,4,329.0,331.0,6.0,9.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,5,333.0,335.0,6.0,9.0,100.0,2.0,2.0,True,taxiing
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-43-55/seed000_gas.log,3,340.0,342.0,6.0,7.0,100.0,2.0,2.0,True,taxiing
