seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min
6,gas,seed006_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
1,gas,seed001_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
8,gas,seed008_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
4,gas,seed004_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
0,gas,seed000_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
3,gas,seed003_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
10,gas,seed010_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
7,gas,seed007_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
9,gas,seed009_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
12,gas,seed012_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
13,gas,seed013_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
14,gas,seed014_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
16,gas,seed016_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
11,gas,seed011_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
2,gas,seed002_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
15,gas,seed015_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
20,gas,seed020_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
17,gas,seed017_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
22,gas,seed022_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
21,gas,seed021_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
26,gas,seed026_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
5,gas,seed005_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
23,gas,seed023_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
28,gas,seed028_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
27,gas,seed027_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
29,gas,seed029_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
25,gas,seed025_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
24,gas,seed024_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
31,gas,seed031_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
35,gas,seed035_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
18,gas,seed018_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
30,gas,seed030_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
32,gas,seed032_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
37,gas,seed037_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
40,gas,seed040_gas.log,2026-04-22 19:10:43,12.0,720.0,7,4.0,2.0,0.25,50.0
