run_id,seed,gse_type,log_file,simulation_duration_hours,simulation_duration_min,simulation_end_time_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,unloading_duration_min,loading_duration_min,departure_delay_min,nodes_file,edges_file,plane_data_file,charging_nodes,spawn_config,plot_graph,visualization_enabled,pace_enabled,show_status,render_every_n_steps,real_minutes_per_pseudo_hour,status_print_interval,low_soc_threshold_pct,critical_soc_threshold_pct
seed000_gas,0,gas,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-42-50/seed000_gas.log,12,720,720.0,6,4.0,2.0,0.25,15,15,5,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/baseline_code/Data/nodes_EHAM.xlsx,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/baseline_code/Data/edges_EHAM.xlsx,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/baseline_code/Data/Planes.xlsx,"5,6",1:65;2:69;3:6;4:49;5:81;6:78,False,False,False,False,1,0.25,10,20.0,10.0
seed000_electric,0,electric,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/run logs/batch_2026-04-21_12-42-50/seed000_electric.log,12,720,720.0,6,4.0,15.0,0.5,15,15,5,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/baseline_code/Data/nodes_EHAM.xlsx,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/baseline_code/Data/edges_EHAM.xlsx,/Users/jens/Documents/Master/Master Q3/Agent Based Modeling/agent-based-modelling/baseline_code/Data/Planes.xlsx,"5,6",1:65;2:69;3:6;4:49;5:81;6:78,False,False,False,False,1,0.25,10,20.0,10.0
