seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min,auction_alpha,auction_beta
2,electric,seed002_electric.log,2026-04-24 08:52:01,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
4,electric,seed004_electric.log,2026-04-24 08:52:02,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
1,electric,seed001_electric.log,2026-04-24 08:52:03,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
7,electric,seed007_electric.log,2026-04-24 08:52:04,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
3,electric,seed003_electric.log,2026-04-24 08:52:04,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
10,electric,seed010_electric.log,2026-04-24 08:52:04,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
5,electric,seed005_electric.log,2026-04-24 08:52:04,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
9,electric,seed009_electric.log,2026-04-24 08:52:05,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
8,electric,seed008_electric.log,2026-04-24 08:52:05,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
6,electric,seed006_electric.log,2026-04-24 08:52:06,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
12,electric,seed012_electric.log,2026-04-24 08:52:08,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
11,electric,seed011_electric.log,2026-04-24 08:52:09,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
13,electric,seed013_electric.log,2026-04-24 08:52:09,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
17,electric,seed017_electric.log,2026-04-24 08:52:09,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
18,electric,seed018_electric.log,2026-04-24 08:52:09,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
0,electric,seed000_electric.log,2026-04-24 08:52:10,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
14,electric,seed014_electric.log,2026-04-24 08:52:11,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
15,electric,seed015_electric.log,2026-04-24 08:52:11,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
25,electric,seed025_electric.log,2026-04-24 08:52:12,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
19,electric,seed019_electric.log,2026-04-24 08:52:12,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
20,electric,seed020_electric.log,2026-04-24 08:52:13,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
16,electric,seed016_electric.log,2026-04-24 08:52:13,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
27,electric,seed027_electric.log,2026-04-24 08:52:14,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
24,electric,seed024_electric.log,2026-04-24 08:52:14,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
21,electric,seed021_electric.log,2026-04-24 08:52:14,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
26,electric,seed026_electric.log,2026-04-24 08:52:15,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
23,electric,seed023_electric.log,2026-04-24 08:52:15,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
22,electric,seed022_electric.log,2026-04-24 08:52:15,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
29,electric,seed029_electric.log,2026-04-24 08:52:16,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
33,electric,seed033_electric.log,2026-04-24 08:52:16,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
35,electric,seed035_electric.log,2026-04-24 08:52:17,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
28,electric,seed028_electric.log,2026-04-24 08:52:17,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
30,electric,seed030_electric.log,2026-04-24 08:52:18,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
37,electric,seed037_electric.log,2026-04-24 08:52:18,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
36,electric,seed036_electric.log,2026-04-24 08:52:18,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
32,electric,seed032_electric.log,2026-04-24 08:52:18,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
31,electric,seed031_electric.log,2026-04-24 08:52:18,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
34,electric,seed034_electric.log,2026-04-24 08:52:19,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
40,electric,seed040_electric.log,2026-04-24 08:52:20,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
38,electric,seed038_electric.log,2026-04-24 08:52:21,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
39,electric,seed039_electric.log,2026-04-24 08:52:21,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
41,electric,seed041_electric.log,2026-04-24 08:52:22,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
44,electric,seed044_electric.log,2026-04-24 08:52:22,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
46,electric,seed046_electric.log,2026-04-24 08:52:22,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
47,electric,seed047_electric.log,2026-04-24 08:52:23,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
43,electric,seed043_electric.log,2026-04-24 08:52:23,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
45,electric,seed045_electric.log,2026-04-24 08:52:23,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
42,electric,seed042_electric.log,2026-04-24 08:52:24,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
51,electric,seed051_electric.log,2026-04-24 08:52:24,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
52,electric,seed052_electric.log,2026-04-24 08:52:25,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
49,electric,seed049_electric.log,2026-04-24 08:52:25,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
48,electric,seed048_electric.log,2026-04-24 08:52:25,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
50,electric,seed050_electric.log,2026-04-24 08:52:26,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
54,electric,seed054_electric.log,2026-04-24 08:52:27,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
55,electric,seed055_electric.log,2026-04-24 08:52:27,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
58,electric,seed058_electric.log,2026-04-24 08:52:28,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
61,electric,seed061_electric.log,2026-04-24 08:52:29,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
56,electric,seed056_electric.log,2026-04-24 08:52:29,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
57,electric,seed057_electric.log,2026-04-24 08:52:30,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
59,electric,seed059_electric.log,2026-04-24 08:52:30,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
53,electric,seed053_electric.log,2026-04-24 08:52:30,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
60,electric,seed060_electric.log,2026-04-24 08:52:30,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
63,electric,seed063_electric.log,2026-04-24 08:52:31,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
62,electric,seed062_electric.log,2026-04-24 08:52:32,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
70,electric,seed070_electric.log,2026-04-24 08:52:32,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
65,electric,seed065_electric.log,2026-04-24 08:52:33,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
64,electric,seed064_electric.log,2026-04-24 08:52:33,24.0,1440.0,8,4.0,15.0,0.5,6.666666666666667,0.7,0.3
