gse_count,mean_tat,n_completed,total_energy_used,avg_tasks_per_gse
4,398.125,8,1180.1999999999985,4.25
5,433.64285714285717,14,1984.040000000002,5.6
6,281.11764705882354,17,2408.4800000000087,5.333333333333333
7,305.23809523809524,21,2463.320000000003,5.714285714285714
8,242.1304347826087,23,2954.1600000000003,5.0
9,271.5925925925926,27,3322.680000000006,5.555555555555555
10,261.65384615384613,26,3615.2400000000016,4.9
11,205.79166666666666,24,3173.680000000003,3.6363636363636362
12,207.12,25,3038.4799999999964,3.8333333333333335
