seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min
4,gas,seed004_gas.log,2026-04-21 12:51:07,12.0,720.0,6,4.0,2.0,0.25,50.0
4,electric,seed004_electric.log,2026-04-21 12:51:07,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
3,gas,seed003_gas.log,2026-04-21 12:51:07,12.0,720.0,6,4.0,2.0,0.25,50.0
3,electric,seed003_electric.log,2026-04-21 12:51:08,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
1,gas,seed001_gas.log,2026-04-21 12:51:08,12.0,720.0,6,4.0,2.0,0.25,50.0
1,electric,seed001_electric.log,2026-04-21 12:51:09,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
2,gas,seed002_gas.log,2026-04-21 12:51:09,12.0,720.0,6,4.0,2.0,0.25,50.0
2,electric,seed002_electric.log,2026-04-21 12:51:10,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
8,gas,seed008_gas.log,2026-04-21 12:51:09,12.0,720.0,6,4.0,2.0,0.25,50.0
8,electric,seed008_electric.log,2026-04-21 12:51:10,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
6,gas,seed006_gas.log,2026-04-21 12:51:09,12.0,720.0,6,4.0,2.0,0.25,50.0
6,electric,seed006_electric.log,2026-04-21 12:51:10,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
7,gas,seed007_gas.log,2026-04-21 12:51:10,12.0,720.0,6,4.0,2.0,0.25,50.0
7,electric,seed007_electric.log,2026-04-21 12:51:11,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
5,gas,seed005_gas.log,2026-04-21 12:51:07,12.0,720.0,6,4.0,2.0,0.25,50.0
5,electric,seed005_electric.log,2026-04-21 12:51:12,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
0,gas,seed000_gas.log,2026-04-21 12:51:12,12.0,720.0,6,4.0,2.0,0.25,50.0
0,electric,seed000_electric.log,2026-04-21 12:51:12,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
9,gas,seed009_gas.log,2026-04-21 12:51:12,12.0,720.0,6,4.0,2.0,0.25,50.0
9,electric,seed009_electric.log,2026-04-21 12:51:13,12.0,720.0,6,4.0,15.0,0.5,6.666666666666667
