seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
4,gas,seed004_gas.log,1,248.0,3
4,gas,seed004_gas.log,2,200.0,3
4,gas,seed004_gas.log,3,169.0,4
4,gas,seed004_gas.log,4,198.0,2
4,gas,seed004_gas.log,5,196.0,7
4,gas,seed004_gas.log,6,248.0,7
4,electric,seed004_electric.log,1,70.0,2
4,electric,seed004_electric.log,2,166.0,4
4,electric,seed004_electric.log,3,252.0,7
4,electric,seed004_electric.log,4,178.0,4
4,electric,seed004_electric.log,5,266.0,5
4,electric,seed004_electric.log,6,142.0,5
3,gas,seed003_gas.log,1,72.0,5
3,gas,seed003_gas.log,2,116.0,6
3,gas,seed003_gas.log,3,73.0,4
3,gas,seed003_gas.log,4,95.0,4
3,gas,seed003_gas.log,5,103.0,5
3,gas,seed003_gas.log,6,135.0,7
3,electric,seed003_electric.log,1,440.0,4
3,electric,seed003_electric.log,2,458.0,5
3,electric,seed003_electric.log,3,78.0,3
3,electric,seed003_electric.log,4,260.0,3
3,electric,seed003_electric.log,5,160.0,3
3,electric,seed003_electric.log,6,450.0,7
1,gas,seed001_gas.log,1,184.0,2
1,gas,seed001_gas.log,2,166.0,4
1,gas,seed001_gas.log,3,221.0,6
1,gas,seed001_gas.log,4,146.0,6
1,gas,seed001_gas.log,5,197.0,8
1,gas,seed001_gas.log,6,171.0,3
1,electric,seed001_electric.log,1,234.0,5
1,electric,seed001_electric.log,2,288.0,4
1,electric,seed001_electric.log,3,292.0,4
1,electric,seed001_electric.log,4,188.0,4
1,electric,seed001_electric.log,5,272.0,4
1,electric,seed001_electric.log,6,250.0,4
2,gas,seed002_gas.log,1,217.0,5
2,gas,seed002_gas.log,2,224.0,8
2,gas,seed002_gas.log,3,79.0,6
2,gas,seed002_gas.log,4,184.0,3
2,gas,seed002_gas.log,5,188.0,3
2,gas,seed002_gas.log,6,163.0,4
2,electric,seed002_electric.log,1,78.0,2
2,electric,seed002_electric.log,2,162.0,1
2,electric,seed002_electric.log,3,330.0,8
2,electric,seed002_electric.log,4,78.0,2
2,electric,seed002_electric.log,5,172.0,2
2,electric,seed002_electric.log,6,268.0,7
8,gas,seed008_gas.log,1,208.0,4
8,gas,seed008_gas.log,2,153.0,3
8,gas,seed008_gas.log,3,146.0,3
8,gas,seed008_gas.log,4,119.0,6
8,gas,seed008_gas.log,5,140.0,4
8,gas,seed008_gas.log,6,167.0,9
8,electric,seed008_electric.log,1,348.0,5
8,electric,seed008_electric.log,2,72.0,1
8,electric,seed008_electric.log,3,276.0,2
8,electric,seed008_electric.log,4,366.0,7
8,electric,seed008_electric.log,5,162.0,3
8,electric,seed008_electric.log,6,160.0,5
6,gas,seed006_gas.log,1,71.0,5
6,gas,seed006_gas.log,2,154.0,6
6,gas,seed006_gas.log,3,193.0,4
6,gas,seed006_gas.log,4,78.0,6
6,gas,seed006_gas.log,5,120.0,3
6,gas,seed006_gas.log,6,153.0,6
6,electric,seed006_electric.log,1,224.0,6
6,electric,seed006_electric.log,2,78.0,3
6,electric,seed006_electric.log,3,268.0,6
6,electric,seed006_electric.log,4,336.0,8
6,electric,seed006_electric.log,5,78.0,2
6,electric,seed006_electric.log,6,264.0,5
7,gas,seed007_gas.log,1,492.0,4
7,gas,seed007_gas.log,2,536.0,2
7,gas,seed007_gas.log,3,501.0,2
7,gas,seed007_gas.log,4,444.0,5
7,gas,seed007_gas.log,5,376.0,7
7,gas,seed007_gas.log,6,415.0,4
7,electric,seed007_electric.log,1,350.0,4
7,electric,seed007_electric.log,2,270.0,3
7,electric,seed007_electric.log,3,76.0,1
7,electric,seed007_electric.log,4,258.0,6
7,electric,seed007_electric.log,5,266.0,3
7,electric,seed007_electric.log,6,260.0,4
5,gas,seed005_gas.log,1,151.0,4
5,gas,seed005_gas.log,2,183.0,6
5,gas,seed005_gas.log,3,178.0,6
5,gas,seed005_gas.log,4,145.0,5
5,gas,seed005_gas.log,5,155.0,5
5,gas,seed005_gas.log,6,200.0,5
5,electric,seed005_electric.log,1,546.0,5
5,electric,seed005_electric.log,2,268.0,2
5,electric,seed005_electric.log,3,250.0,5
5,electric,seed005_electric.log,4,272.0,2
5,electric,seed005_electric.log,5,564.0,4
5,electric,seed005_electric.log,6,366.0,5
0,gas,seed000_gas.log,1,522.0,2
0,gas,seed000_gas.log,2,575.0,0
0,gas,seed000_gas.log,3,491.0,5
0,gas,seed000_gas.log,4,538.0,5
0,gas,seed000_gas.log,5,522.0,5
0,gas,seed000_gas.log,6,579.0,2
0,electric,seed000_electric.log,1,220.0,4
0,electric,seed000_electric.log,2,162.0,4
0,electric,seed000_electric.log,3,166.0,5
0,electric,seed000_electric.log,4,344.0,6
0,electric,seed000_electric.log,5,290.0,4
0,electric,seed000_electric.log,6,330.0,6
9,gas,seed009_gas.log,1,261.0,5
9,gas,seed009_gas.log,2,286.0,3
9,gas,seed009_gas.log,3,324.0,4
9,gas,seed009_gas.log,4,302.0,5
9,gas,seed009_gas.log,5,322.0,5
9,gas,seed009_gas.log,6,298.0,5
9,electric,seed009_electric.log,1,176.0,2
9,electric,seed009_electric.log,2,300.0,1
9,electric,seed009_electric.log,3,424.0,4
9,electric,seed009_electric.log,4,460.0,4
9,electric,seed009_electric.log,5,334.0,8
9,electric,seed009_electric.log,6,344.0,6
