seed,gse_type,log_file,plane_id,completed,turnaround_time_min,wait_unload_min,wait_load_min
4,gas,seed004_gas.log,AF1341,True,59.0,6.0,18.0
4,gas,seed004_gas.log,AF782,True,58.0,1.0,22.0
4,gas,seed004_gas.log,BA774,True,60.0,14.0,11.0
4,gas,seed004_gas.log,EK149,True,106.0,5.0,66.0
4,gas,seed004_gas.log,EK533,True,153.0,7.0,111.0
4,gas,seed004_gas.log,IB204,True,55.0,6.0,14.0
4,gas,seed004_gas.log,IB452,True,75.0,17.0,23.0
4,gas,seed004_gas.log,KL123,True,75.0,8.0,32.0
4,gas,seed004_gas.log,KL184,True,83.0,7.0,41.0
4,gas,seed004_gas.log,KL642,True,127.0,6.0,86.0
4,gas,seed004_gas.log,LH412,True,53.0,1.0,17.0
4,gas,seed004_gas.log,LH997,True,49.0,2.0,12.0
4,gas,seed004_gas.log,OS374,True,156.0,68.0,53.0
4,gas,seed004_gas.log,QF640,True,96.0,4.0,57.0
4,gas,seed004_gas.log,TK1954,True,43.0,3.0,5.0
4,gas,seed004_gas.log,U28672,True,107.0,3.0,69.0
4,electric,seed004_electric.log,AF1341,True,68.0,11.0,22.0
4,electric,seed004_electric.log,AF782,True,58.0,1.0,22.0
4,electric,seed004_electric.log,BA774,True,67.0,17.0,15.0
4,electric,seed004_electric.log,EK149,True,59.0,13.0,11.0
4,electric,seed004_electric.log,EK533,True,60.0,7.0,18.0
4,electric,seed004_electric.log,IB204,True,59.0,6.0,18.0
4,electric,seed004_electric.log,IB452,True,138.0,53.0,50.0
4,electric,seed004_electric.log,KL123,False,,,
4,electric,seed004_electric.log,KL184,True,117.0,27.0,55.0
4,electric,seed004_electric.log,KL642,True,87.0,6.0,46.0
4,electric,seed004_electric.log,LH412,True,53.0,1.0,17.0
4,electric,seed004_electric.log,LH997,True,49.0,2.0,12.0
4,electric,seed004_electric.log,OS374,True,98.0,26.0,37.0
4,electric,seed004_electric.log,QF640,True,80.0,28.0,17.0
4,electric,seed004_electric.log,TK1954,True,44.0,4.0,5.0
4,electric,seed004_electric.log,U28672,True,56.0,3.0,18.0
3,gas,seed003_gas.log,AF1341,True,58.0,8.0,15.0
3,gas,seed003_gas.log,AF782,True,54.0,5.0,14.0
3,gas,seed003_gas.log,BA774,True,53.0,9.0,9.0
3,gas,seed003_gas.log,EK149,True,89.0,7.0,47.0
3,gas,seed003_gas.log,EK533,True,61.0,8.0,18.0
3,gas,seed003_gas.log,IB204,True,53.0,6.0,12.0
3,gas,seed003_gas.log,IB452,True,54.0,7.0,12.0
3,gas,seed003_gas.log,KL123,True,69.0,12.0,22.0
3,gas,seed003_gas.log,KL184,True,60.0,8.0,17.0
3,gas,seed003_gas.log,KL642,True,57.0,6.0,16.0
3,gas,seed003_gas.log,LH412,True,53.0,3.0,15.0
3,gas,seed003_gas.log,LH997,True,48.0,3.0,10.0
3,gas,seed003_gas.log,OS374,True,70.0,20.0,15.0
3,gas,seed003_gas.log,QF640,True,67.0,4.0,28.0
3,gas,seed003_gas.log,TK1954,True,44.0,4.0,5.0
3,gas,seed003_gas.log,U28672,True,57.0,4.0,18.0
3,electric,seed003_electric.log,AF1341,True,86.0,7.0,44.0
3,electric,seed003_electric.log,AF782,True,54.0,5.0,14.0
3,electric,seed003_electric.log,BA774,True,86.0,8.0,43.0
3,electric,seed003_electric.log,EK149,True,150.0,6.0,109.0
3,electric,seed003_electric.log,EK533,True,116.0,8.0,73.0
3,electric,seed003_electric.log,IB204,True,58.0,9.0,14.0
3,electric,seed003_electric.log,IB452,True,195.0,74.0,86.0
3,electric,seed003_electric.log,KL123,False,,,
