seed,gse_type,log_file,plane_id,completed,turnaround_time_min,wait_unload_min,wait_load_min
3,electric,seed003_electric.log,AF1341,True,65.0,10.0,20.0
3,electric,seed003_electric.log,AF782,True,52.0,5.0,12.0
3,electric,seed003_electric.log,BA774,True,51.0,7.0,9.0
3,electric,seed003_electric.log,EK149,True,55.0,5.0,15.0
3,electric,seed003_electric.log,EK533,True,63.0,8.0,20.0
3,electric,seed003_electric.log,IB204,True,73.0,6.0,32.0
3,electric,seed003_electric.log,IB452,True,50.0,0.0,15.0
3,electric,seed003_electric.log,KL123,True,72.0,5.0,32.0
3,electric,seed003_electric.log,KL184,True,83.0,21.0,27.0
3,electric,seed003_electric.log,KL642,True,71.0,6.0,30.0
3,electric,seed003_electric.log,LH412,True,52.0,5.0,12.0
3,electric,seed003_electric.log,LH997,True,48.0,3.0,10.0
3,electric,seed003_electric.log,OS374,True,68.0,14.0,19.0
3,electric,seed003_electric.log,QF640,True,57.0,10.0,12.0
3,electric,seed003_electric.log,TK1954,True,63.0,5.0,23.0
3,electric,seed003_electric.log,U28672,True,54.0,4.0,15.0
1,electric,seed001_electric.log,AF1341,True,71.0,9.0,27.0
1,electric,seed001_electric.log,AF782,True,48.0,0.0,13.0
1,electric,seed001_electric.log,BA774,True,50.0,6.0,9.0
1,electric,seed001_electric.log,EK149,True,57.0,7.0,15.0
1,electric,seed001_electric.log,EK533,True,61.0,6.0,20.0
1,electric,seed001_electric.log,IB204,True,74.0,11.0,28.0
1,electric,seed001_electric.log,IB452,True,71.0,0.0,36.0
1,electric,seed001_electric.log,KL123,True,74.0,21.0,18.0
1,electric,seed001_electric.log,KL184,True,112.0,37.0,40.0
1,electric,seed001_electric.log,KL642,True,59.0,6.0,18.0
1,electric,seed001_electric.log,LH412,True,50.0,0.0,15.0
1,electric,seed001_electric.log,LH997,True,47.0,3.0,9.0
1,electric,seed001_electric.log,OS374,True,88.0,20.0,33.0
1,electric,seed001_electric.log,QF640,True,85.0,35.0,15.0
1,electric,seed001_electric.log,TK1954,True,74.0,4.0,35.0
1,electric,seed001_electric.log,U28672,True,55.0,3.0,17.0
0,electric,seed000_electric.log,AF1341,True,67.0,17.0,15.0
0,electric,seed000_electric.log,AF782,True,70.0,4.0,31.0
0,electric,seed000_electric.log,BA774,True,54.0,8.0,11.0
0,electric,seed000_electric.log,EK149,True,59.0,5.0,19.0
0,electric,seed000_electric.log,EK533,True,63.0,7.0,21.0
0,electric,seed000_electric.log,IB204,True,51.0,6.0,10.0
0,electric,seed000_electric.log,IB452,True,123.0,40.0,48.0
0,electric,seed000_electric.log,KL123,True,57.0,2.0,20.0
0,electric,seed000_electric.log,KL184,True,99.0,45.0,19.0
0,electric,seed000_electric.log,KL642,True,61.0,7.0,19.0
0,electric,seed000_electric.log,LH412,True,57.0,5.0,17.0
0,electric,seed000_electric.log,LH997,True,45.0,1.0,9.0
0,electric,seed000_electric.log,OS374,True,78.0,18.0,25.0
0,electric,seed000_electric.log,QF640,True,78.0,28.0,15.0
0,electric,seed000_electric.log,TK1954,True,52.0,1.0,16.0
0,electric,seed000_electric.log,U28672,True,57.0,4.0,18.0
4,electric,seed004_electric.log,AF1341,True,64.0,6.0,23.0
4,electric,seed004_electric.log,AF782,True,57.0,0.0,22.0
4,electric,seed004_electric.log,BA774,True,51.0,7.0,9.0
4,electric,seed004_electric.log,EK149,True,51.0,7.0,9.0
4,electric,seed004_electric.log,EK533,True,59.0,3.0,21.0
4,electric,seed004_electric.log,IB204,True,66.0,6.0,25.0
4,electric,seed004_electric.log,IB452,True,64.0,8.0,21.0
4,electric,seed004_electric.log,KL123,True,58.0,8.0,15.0
4,electric,seed004_electric.log,KL184,True,71.0,9.0,27.0
4,electric,seed004_electric.log,KL642,True,55.0,4.0,16.0
4,electric,seed004_electric.log,LH412,True,53.0,1.0,17.0
4,electric,seed004_electric.log,LH997,True,43.0,2.0,6.0
4,electric,seed004_electric.log,OS374,True,61.0,10.0,16.0
4,electric,seed004_electric.log,QF640,True,84.0,30.0,19.0
4,electric,seed004_electric.log,TK1954,True,74.0,1.0,38.0
4,electric,seed004_electric.log,U28672,True,52.0,0.0,17.0
6,electric,seed006_electric.log,AF1341,True,69.0,12.0,22.0
6,electric,seed006_electric.log,AF782,True,47.0,1.0,11.0
6,electric,seed006_electric.log,BA774,True,52.0,8.0,9.0
