seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
3,electric,seed003_electric.log,1,200.0,4
3,electric,seed003_electric.log,2,262.0,5
3,electric,seed003_electric.log,3,248.0,5
3,electric,seed003_electric.log,4,112.0,5
3,electric,seed003_electric.log,5,138.0,3
3,electric,seed003_electric.log,6,74.0,3
3,electric,seed003_electric.log,7,176.0,4
1,electric,seed001_electric.log,1,78.0,4
1,electric,seed001_electric.log,2,234.0,6
1,electric,seed001_electric.log,3,232.0,6
1,electric,seed001_electric.log,4,72.0,2
1,electric,seed001_electric.log,5,246.0,5
1,electric,seed001_electric.log,6,72.0,2
1,electric,seed001_electric.log,7,170.0,3
0,electric,seed000_electric.log,1,172.0,5
0,electric,seed000_electric.log,2,70.0,2
0,electric,seed000_electric.log,3,98.0,3
0,electric,seed000_electric.log,4,70.0,2
0,electric,seed000_electric.log,5,276.0,7
0,electric,seed000_electric.log,6,196.0,4
0,electric,seed000_electric.log,7,320.0,7
4,electric,seed004_electric.log,1,118.0,3
4,electric,seed004_electric.log,2,198.0,4
4,electric,seed004_electric.log,3,178.0,5
4,electric,seed004_electric.log,4,238.0,3
4,electric,seed004_electric.log,5,166.0,6
4,electric,seed004_electric.log,6,150.0,3
4,electric,seed004_electric.log,7,132.0,5
6,electric,seed006_electric.log,1,142.0,3
6,electric,seed006_electric.log,2,186.0,5
6,electric,seed006_electric.log,3,200.0,4
6,electric,seed006_electric.log,4,190.0,5
6,electric,seed006_electric.log,5,76.0,3
6,electric,seed006_electric.log,6,184.0,4
6,electric,seed006_electric.log,7,232.0,5
8,electric,seed008_electric.log,1,68.0,2
8,electric,seed008_electric.log,2,72.0,2
8,electric,seed008_electric.log,3,172.0,3
8,electric,seed008_electric.log,4,288.0,6
8,electric,seed008_electric.log,5,234.0,7
8,electric,seed008_electric.log,6,220.0,5
8,electric,seed008_electric.log,7,170.0,5
7,electric,seed007_electric.log,1,190.0,4
7,electric,seed007_electric.log,2,240.0,6
7,electric,seed007_electric.log,3,236.0,5
7,electric,seed007_electric.log,4,192.0,4
7,electric,seed007_electric.log,5,178.0,5
7,electric,seed007_electric.log,6,176.0,2
7,electric,seed007_electric.log,7,148.0,5
12,electric,seed012_electric.log,1,160.0,5
12,electric,seed012_electric.log,2,160.0,6
12,electric,seed012_electric.log,3,140.0,3
12,electric,seed012_electric.log,4,254.0,5
12,electric,seed012_electric.log,5,240.0,4
12,electric,seed012_electric.log,6,178.0,3
12,electric,seed012_electric.log,7,178.0,4
5,electric,seed005_electric.log,1,78.0,3
5,electric,seed005_electric.log,2,72.0,2
5,electric,seed005_electric.log,3,258.0,6
5,electric,seed005_electric.log,4,188.0,5
5,electric,seed005_electric.log,5,164.0,5
5,electric,seed005_electric.log,6,284.0,5
5,electric,seed005_electric.log,7,150.0,3
9,electric,seed009_electric.log,1,200.0,5
9,electric,seed009_electric.log,2,176.0,5
9,electric,seed009_electric.log,3,200.0,4
9,electric,seed009_electric.log,4,170.0,4
9,electric,seed009_electric.log,5,132.0,5
9,electric,seed009_electric.log,6,150.0,4
9,electric,seed009_electric.log,7,252.0,4
2,electric,seed002_electric.log,1,70.0,3
2,electric,seed002_electric.log,2,228.0,6
2,electric,seed002_electric.log,3,242.0,5
2,electric,seed002_electric.log,4,164.0,3
2,electric,seed002_electric.log,5,276.0,6
2,electric,seed002_electric.log,6,200.0,5
2,electric,seed002_electric.log,7,72.0,2
13,electric,seed013_electric.log,1,100.0,2
13,electric,seed013_electric.log,2,68.0,2
13,electric,seed013_electric.log,3,200.0,5
13,electric,seed013_electric.log,4,220.0,4
13,electric,seed013_electric.log,5,240.0,6
13,electric,seed013_electric.log,6,148.0,5
13,electric,seed013_electric.log,7,300.0,4
14,electric,seed014_electric.log,1,174.0,5
14,electric,seed014_electric.log,2,200.0,6
14,electric,seed014_electric.log,3,230.0,4
14,electric,seed014_electric.log,4,240.0,5
14,electric,seed014_electric.log,5,146.0,3
14,electric,seed014_electric.log,6,72.0,2
14,electric,seed014_electric.log,7,198.0,3
16,electric,seed016_electric.log,1,72.0,2
16,electric,seed016_electric.log,2,164.0,5
16,electric,seed016_electric.log,3,268.0,8
16,electric,seed016_electric.log,4,176.0,4
16,electric,seed016_electric.log,5,76.0,2
16,electric,seed016_electric.log,6,334.0,5
16,electric,seed016_electric.log,7,166.0,3
10,electric,seed010_electric.log,1,156.0,5
10,electric,seed010_electric.log,2,172.0,3
10,electric,seed010_electric.log,3,288.0,6
10,electric,seed010_electric.log,4,174.0,4
10,electric,seed010_electric.log,5,240.0,4
10,electric,seed010_electric.log,6,246.0,5
10,electric,seed010_electric.log,7,240.0,5
11,electric,seed011_electric.log,1,196.0,4
11,electric,seed011_electric.log,2,226.0,5
11,electric,seed011_electric.log,3,168.0,5
11,electric,seed011_electric.log,4,230.0,5
11,electric,seed011_electric.log,5,74.0,2
11,electric,seed011_electric.log,6,198.0,4
11,electric,seed011_electric.log,7,268.0,3
19,electric,seed019_electric.log,1,188.0,6
19,electric,seed019_electric.log,2,76.0,2
19,electric,seed019_electric.log,3,200.0,5
