seed,gse_type,mean_tat,n_completed,log_file
0,electric,78.9,16,seed000_electric.log
1,electric,62.2,16,seed001_electric.log
2,electric,80.2,16,seed002_electric.log
3,electric,81.3,16,seed003_electric.log
4,electric,102.6,16,seed004_electric.log
5,electric,96.5,16,seed005_electric.log
6,electric,76.4,16,seed006_electric.log
7,electric,83.6,16,seed007_electric.log
8,electric,82.0,16,seed008_electric.log
9,electric,73.1,16,seed009_electric.log
10,electric,92.2,16,seed010_electric.log
11,electric,74.5,16,seed011_electric.log
12,electric,104.1,16,seed012_electric.log
13,electric,100.2,16,seed013_electric.log
14,electric,87.1,16,seed014_electric.log
15,electric,89.4,16,seed015_electric.log
16,electric,69.3,16,seed016_electric.log
17,electric,76.2,16,seed017_electric.log
18,electric,80.2,16,seed018_electric.log
19,electric,90.9,16,seed019_electric.log
20,electric,103.4,16,seed020_electric.log
21,electric,79.4,16,seed021_electric.log
22,electric,82.2,16,seed022_electric.log
23,electric,75.9,16,seed023_electric.log
24,electric,85.5,16,seed024_electric.log
25,electric,68.9,16,seed025_electric.log
26,electric,83.3,16,seed026_electric.log
27,electric,75.4,16,seed027_electric.log
28,electric,65.9,16,seed028_electric.log
29,electric,78.0,16,seed029_electric.log
30,electric,67.8,16,seed030_electric.log
31,electric,71.0,16,seed031_electric.log
32,electric,100.4,16,seed032_electric.log
33,electric,130.0,16,seed033_electric.log
34,electric,128.8,16,seed034_electric.log
35,electric,86.5,16,seed035_electric.log
36,electric,112.8,16,seed036_electric.log
37,electric,80.9,16,seed037_electric.log
38,electric,71.7,16,seed038_electric.log
39,electric,85.9,16,seed039_electric.log
40,electric,73.4,16,seed040_electric.log
41,electric,66.8,16,seed041_electric.log
42,electric,121.1,16,seed042_electric.log
43,electric,70.4,16,seed043_electric.log
44,electric,69.3,16,seed044_electric.log
45,electric,96.9,16,seed045_electric.log
46,electric,82.2,16,seed046_electric.log
47,electric,66.2,16,seed047_electric.log
48,electric,122.1,16,seed048_electric.log
49,electric,76.9,16,seed049_electric.log
