seed,gse_type,log_file,gse_id,total_energy_consumed_pct,tasks_completed
0,electric,seed000_electric.log,1,324.0,5
0,electric,seed000_electric.log,2,174.0,4
0,electric,seed000_electric.log,3,196.0,4
0,electric,seed000_electric.log,4,200.0,2
0,electric,seed000_electric.log,5,222.0,4
0,electric,seed000_electric.log,6,392.0,4
0,electric,seed000_electric.log,7,234.0,4
6,electric,seed006_electric.log,1,326.0,4
6,electric,seed006_electric.log,2,172.0,4
6,electric,seed006_electric.log,3,342.0,5
6,electric,seed006_electric.log,4,258.0,4
6,electric,seed006_electric.log,5,78.0,3
6,electric,seed006_electric.log,6,254.0,5
6,electric,seed006_electric.log,7,240.0,5
3,electric,seed003_electric.log,1,172.0,3
3,electric,seed003_electric.log,2,244.0,5
3,electric,seed003_electric.log,3,274.0,5
3,electric,seed003_electric.log,4,68.0,2
3,electric,seed003_electric.log,5,272.0,5
3,electric,seed003_electric.log,6,418.0,6
3,electric,seed003_electric.log,7,164.0,2
7,electric,seed007_electric.log,1,340.0,3
7,electric,seed007_electric.log,2,392.0,6
7,electric,seed007_electric.log,3,244.0,4
7,electric,seed007_electric.log,4,234.0,4
7,electric,seed007_electric.log,5,336.0,2
7,electric,seed007_electric.log,6,138.0,2
7,electric,seed007_electric.log,7,314.0,4
1,electric,seed001_electric.log,1,222.0,5
1,electric,seed001_electric.log,2,128.0,3
1,electric,seed001_electric.log,3,226.0,6
1,electric,seed001_electric.log,4,64.0,2
1,electric,seed001_electric.log,5,240.0,8
1,electric,seed001_electric.log,6,198.0,3
1,electric,seed001_electric.log,7,100.0,2
2,electric,seed002_electric.log,1,290.0,6
2,electric,seed002_electric.log,2,362.0,5
2,electric,seed002_electric.log,3,76.0,3
2,electric,seed002_electric.log,4,72.0,2
2,electric,seed002_electric.log,5,168.0,2
2,electric,seed002_electric.log,6,174.0,4
2,electric,seed002_electric.log,7,268.0,6
11,electric,seed011_electric.log,1,334.0,6
11,electric,seed011_electric.log,2,242.0,6
11,electric,seed011_electric.log,3,232.0,4
11,electric,seed011_electric.log,4,210.0,5
11,electric,seed011_electric.log,5,74.0,2
11,electric,seed011_electric.log,6,200.0,5
11,electric,seed011_electric.log,7,76.0,3
