seed,gse_type,log_file,date_time,duration_hours,duration_min,gse_count,gse_speed,charge_duration_min,base_consumption_rate_pct_per_unit,recharge_rate_pct_per_min,auction_alpha,auction_beta
4,gas,seed004_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
6,gas,seed006_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
1,gas,seed001_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
2,gas,seed002_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
5,gas,seed005_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
3,gas,seed003_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
0,gas,seed000_gas.log,2026-04-26 21:04:01,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
11,gas,seed011_gas.log,2026-04-26 21:04:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
9,gas,seed009_gas.log,2026-04-26 21:04:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
8,gas,seed008_gas.log,2026-04-26 21:04:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
7,gas,seed007_gas.log,2026-04-26 21:04:02,24.0,1440.0,8,4.0,2.0,0.25,50.0,0.7,0.3
